AEROLANDIA;AEROPORTO;ALAGADICO;ALDEOTA;ALTO DA BALANCA;ALVARO WEYNE;AMADEU FURTADO;ANCURI;ANTONIO BEZERRA;ARRAIAL MOURA BRASIL;AUTRAN NUNES;BARRA DO CEARA;BARROSO;BELA VISTA;BENFICA;BOM FUTURO;BOM JARDIM;BONSUCESSO;CAIS DO PORTO;CAJAZEIRAS;CAMBEBA;CANINDEZINHO;CARLITO PAMPLONA;CASTELAO;CENTRO;CIDADE 2000;CIDADE DOS FUNCIONARIOS;COACU;COCO;CONJUNTO CEARA I;CONJUNTO CEARA II;CONJUNTO ESPERANCA;CONJUNTO PALMEIRAS;COUTO FERNANDES;CRISTO REDENTOR;CURIO;DAMAS;DE LOURDES;DEMOCRITO ROCHA;DENDE;DIAS MACEDO;DIONISIO TORRES;DOM LUSTOSA;EDSON QUEIROZ;ENGENHEIRO LUCIANO CAVALCANTE;FARIAS BRITO;FATIMA;FLORESTA;GENIBAU;GENTILANDIA;GRANJA LISBOA;GRANJA PORTUGAL;GUAJERU;GUARARAPES;HENRIQUE JORGE;ITAOCA;ITAPERI;JACARECANGA;JANGURUSSU;JARDIM AMERICA;JARDIM CEARENSE;JARDIM DAS OLIVEIRAS;JARDIM GUANABARA;JARDIM IRACEMA;JOAO XXIII;JOAQUIM TAVORA;JOQUEI CLUB;JOSE BONIFACIO;JOSE DE ALENCAR;LAGOA REDONDA;LAGOA SAPIRANGA;MANOEL SATIRO;MANUEL DIAS BRANCO;MARAPONGA;MATA GALINHA;MEIRELES;MESSEJANA;MONDUBIM;MONTE CASTELO;MONTESE;MUCURIPE;PADRE ANDRADE;PAN-AMERICANO;PAPICU;PARANGABA;PARQUE ARAXA;PARQUE DOIS IRMAOS;PARQUE IRACEMA;PARQUE MANIBURA;PARQUE PRESIDENTE VARGAS;PARQUE SANTA ROSA;PARQUE SAO JOSE;PARQUELANDIA;PARREAO;PASSARE;PAUPINA;PEDRAS;PICI;PIRAMBU;PLANALTO AYRTON SENNA;PRAIA DE IRACEMA;PRAIA DO FUTURO I;PRAIA DO FUTURO II;PREFEITO JOSE WALTER;PRESIDENTE KENNEDY;QUINTINO CUNHA;RODOLFO TEOFILO;SABIAGUABA;SALINAS;SAO BENTO;SAO JOAO DO TAUAPE;SERRINHA;SIQUEIRA;VARJOTA;VICENTE PINZON;VILA ELLERY;VILA PERY;VILA UNIAO;VILA VELHA;DATA
1.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;6.0;0.0;0.0;1.0;2.0;3.0;0.0;0.0;2.0;5.0;2.0;2.0;0.0;7.0;1.0;0.0;2.0;1.0;2.0;1.0;0.0;0.0;1.0;1.0;2.0;0.0;0.0;3.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;2.0;1.0;2.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;0.0;1.0;0.0;1.0;1.0;0.0;6.0;0.0;3.0;0.0;1.0;2.0;2.0;5.0;0.0;1.0;0.0;1.0;5.0;7.0;0.0;1.0;0.0;0.0;1.0;1.0;8.0;0.0;1.0;0.0;0.0;0.0;2.0;4.0;2.0;0.0;1.0;0.0;0.0;4.0;0.0;2.0;0.0;0.0;0.0;0.0;1.0;5.0;0.0;0.0;1.0;1.0;1.0;0.0;2.0;0.0;2.0;1.0;1.0;0.0;6.0;2011-01-01
0.0;0.0;1.0;0.0;0.0;1.0;4.0;3.0;4.0;0.0;2.0;0.0;0.0;6.0;0.0;0.0;9.0;12.0;4.0;3.0;2.0;8.0;2.0;4.0;3.0;1.0;3.0;1.0;2.0;2.0;1.0;3.0;3.0;1.0;0.0;1.0;1.0;1.0;2.0;0.0;2.0;0.0;0.0;3.0;4.0;2.0;1.0;2.0;4.0;2.0;5.0;9.0;2.0;1.0;2.0;3.0;0.0;0.0;4.0;2.0;0.0;6.0;2.0;3.0;4.0;1.0;2.0;1.0;5.0;2.0;1.0;7.0;1.0;5.0;0.0;3.0;10.0;11.0;2.0;7.0;3.0;1.0;2.0;1.0;12.0;0.0;1.0;0.0;0.0;0.0;1.0;2.0;4.0;0.0;4.0;4.0;0.0;3.0;0.0;3.0;0.0;1.0;0.0;1.0;1.0;11.0;3.0;0.0;1.0;2.0;3.0;8.0;6.0;0.0;1.0;1.0;3.0;1.0;3.0;2011-01-08
1.0;0.0;0.0;4.0;1.0;1.0;0.0;3.0;3.0;0.0;5.0;1.0;3.0;2.0;0.0;1.0;9.0;9.0;1.0;1.0;2.0;5.0;1.0;2.0;0.0;0.0;3.0;0.0;1.0;1.0;1.0;1.0;7.0;0.0;3.0;1.0;3.0;0.0;1.0;0.0;3.0;1.0;0.0;4.0;3.0;0.0;2.0;2.0;6.0;2.0;8.0;7.0;3.0;1.0;3.0;2.0;1.0;0.0;7.0;0.0;1.0;7.0;0.0;1.0;4.0;1.0;7.0;0.0;0.0;10.0;6.0;9.0;0.0;2.0;4.0;3.0;9.0;5.0;0.0;4.0;3.0;1.0;0.0;1.0;17.0;0.0;2.0;0.0;0.0;2.0;4.0;5.0;1.0;1.0;1.0;1.0;5.0;9.0;1.0;1.0;0.0;0.0;1.0;5.0;3.0;10.0;3.0;0.0;0.0;1.0;0.0;5.0;5.0;0.0;6.0;0.0;7.0;2.0;2.0;2011-01-15
2.0;0.0;1.0;3.0;3.0;2.0;5.0;2.0;4.0;0.0;1.0;3.0;6.0;1.0;1.0;1.0;9.0;7.0;3.0;2.0;1.0;2.0;0.0;2.0;1.0;1.0;2.0;2.0;1.0;3.0;2.0;2.0;2.0;0.0;2.0;5.0;0.0;2.0;1.0;1.0;2.0;0.0;1.0;9.0;2.0;0.0;2.0;1.0;5.0;1.0;3.0;5.0;4.0;1.0;6.0;5.0;1.0;0.0;8.0;0.0;0.0;1.0;1.0;1.0;5.0;3.0;2.0;0.0;2.0;10.0;6.0;7.0;0.0;3.0;0.0;0.0;14.0;9.0;3.0;2.0;0.0;1.0;1.0;3.0;9.0;0.0;1.0;1.0;0.0;1.0;0.0;2.0;3.0;1.0;2.0;2.0;0.0;10.0;0.0;6.0;0.0;1.0;0.0;3.0;1.0;3.0;7.0;0.0;0.0;6.0;2.0;3.0;6.0;1.0;8.0;2.0;5.0;2.0;1.0;2011-01-22
5.0;1.0;0.0;4.0;3.0;3.0;3.0;1.0;6.0;0.0;1.0;2.0;0.0;3.0;0.0;3.0;7.0;8.0;1.0;0.0;3.0;7.0;1.0;0.0;4.0;0.0;2.0;0.0;1.0;0.0;5.0;3.0;3.0;0.0;3.0;14.0;1.0;0.0;3.0;0.0;1.0;0.0;2.0;6.0;1.0;0.0;2.0;3.0;7.0;0.0;11.0;6.0;4.0;0.0;6.0;1.0;1.0;0.0;11.0;1.0;0.0;3.0;1.0;1.0;5.0;1.0;4.0;2.0;6.0;16.0;6.0;7.0;0.0;2.0;0.0;6.0;16.0;7.0;1.0;6.0;0.0;1.0;3.0;1.0;8.0;0.0;2.0;1.0;0.0;1.0;5.0;3.0;1.0;0.0;1.0;6.0;0.0;6.0;1.0;3.0;0.0;0.0;0.0;4.0;1.0;3.0;6.0;1.0;0.0;7.0;1.0;6.0;4.0;0.0;6.0;1.0;3.0;3.0;1.0;2011-01-29
1.0;0.0;1.0;1.0;2.0;1.0;7.0;4.0;3.0;0.0;2.0;3.0;3.0;1.0;2.0;0.0;7.0;4.0;9.0;0.0;1.0;3.0;1.0;1.0;2.0;1.0;3.0;3.0;0.0;5.0;1.0;6.0;6.0;0.0;1.0;8.0;1.0;0.0;2.0;0.0;1.0;3.0;4.0;11.0;2.0;1.0;1.0;2.0;4.0;0.0;4.0;4.0;2.0;1.0;5.0;0.0;2.0;0.0;6.0;0.0;0.0;7.0;1.0;3.0;4.0;2.0;8.0;0.0;4.0;20.0;4.0;5.0;0.0;2.0;1.0;1.0;20.0;16.0;0.0;5.0;0.0;4.0;0.0;0.0;8.0;0.0;0.0;1.0;1.0;1.0;5.0;0.0;1.0;0.0;5.0;3.0;0.0;4.0;1.0;11.0;0.0;0.0;0.0;4.0;1.0;6.0;4.0;0.0;0.0;1.0;7.0;5.0;15.0;1.0;10.0;3.0;7.0;2.0;5.0;2011-02-05
2.0;1.0;1.0;4.0;2.0;0.0;4.0;8.0;13.0;0.0;4.0;4.0;11.0;6.0;1.0;1.0;12.0;18.0;6.0;0.0;5.0;7.0;3.0;7.0;8.0;0.0;2.0;4.0;0.0;2.0;1.0;3.0;12.0;1.0;0.0;9.0;1.0;1.0;2.0;1.0;2.0;0.0;2.0;7.0;7.0;0.0;0.0;4.0;7.0;0.0;5.0;4.0;3.0;0.0;3.0;1.0;4.0;2.0;12.0;2.0;0.0;11.0;7.0;4.0;6.0;2.0;3.0;0.0;3.0;17.0;13.0;5.0;0.0;0.0;0.0;1.0;27.0;24.0;6.0;5.0;2.0;7.0;1.0;4.0;11.0;0.0;1.0;2.0;3.0;1.0;6.0;1.0;0.0;2.0;6.0;20.0;1.0;8.0;0.0;14.0;0.0;0.0;1.0;7.0;5.0;9.0;4.0;1.0;3.0;11.0;6.0;4.0;16.0;0.0;4.0;4.0;8.0;1.0;8.0;2011-02-12
7.0;2.0;1.0;12.0;3.0;1.0;1.0;13.0;12.0;0.0;6.0;6.0;9.0;5.0;2.0;2.0;18.0;15.0;14.0;1.0;8.0;21.0;3.0;8.0;5.0;3.0;6.0;3.0;0.0;5.0;1.0;12.0;19.0;2.0;2.0;6.0;2.0;2.0;1.0;1.0;7.0;2.0;1.0;7.0;9.0;2.0;5.0;2.0;13.0;0.0;12.0;11.0;3.0;1.0;8.0;4.0;9.0;0.0;14.0;5.0;1.0;9.0;4.0;6.0;6.0;5.0;5.0;0.0;6.0;17.0;18.0;17.0;0.0;4.0;3.0;3.0;63.0;49.0;1.0;5.0;2.0;5.0;1.0;3.0;12.0;2.0;4.0;3.0;0.0;3.0;6.0;3.0;4.0;0.0;20.0;11.0;3.0;18.0;3.0;34.0;0.0;1.0;1.0;22.0;7.0;21.0;6.0;2.0;3.0;18.0;12.0;5.0;30.0;0.0;13.0;8.0;4.0;2.0;9.0;2011-02-19
10.0;3.0;3.0;21.0;8.0;8.0;7.0;13.0;24.0;0.0;15.0;5.0;18.0;10.0;4.0;6.0;18.0;22.0;1.0;1.0;2.0;30.0;4.0;10.0;7.0;4.0;14.0;6.0;2.0;6.0;7.0;6.0;15.0;1.0;3.0;6.0;2.0;0.0;1.0;2.0;12.0;6.0;3.0;11.0;14.0;5.0;2.0;3.0;32.0;2.0;22.0;13.0;2.0;1.0;6.0;5.0;3.0;2.0;26.0;4.0;1.0;13.0;2.0;5.0;7.0;9.0;12.0;3.0;6.0;18.0;10.0;17.0;0.0;4.0;2.0;4.0;44.0;35.0;0.0;5.0;1.0;18.0;1.0;4.0;18.0;1.0;5.0;0.0;1.0;7.0;10.0;2.0;8.0;1.0;17.0;12.0;4.0;8.0;0.0;28.0;0.0;6.0;4.0;13.0;7.0;16.0;3.0;0.0;1.0;11.0;22.0;8.0;30.0;1.0;9.0;6.0;6.0;4.0;13.0;2011-02-26
6.0;5.0;0.0;7.0;2.0;8.0;2.0;8.0;18.0;0.0;7.0;6.0;7.0;5.0;4.0;1.0;12.0;9.0;2.0;3.0;7.0;24.0;4.0;3.0;5.0;7.0;7.0;1.0;1.0;6.0;6.0;4.0;15.0;3.0;9.0;2.0;1.0;2.0;2.0;0.0;3.0;2.0;5.0;13.0;5.0;1.0;2.0;4.0;13.0;1.0;15.0;15.0;6.0;0.0;12.0;0.0;4.0;3.0;21.0;4.0;1.0;22.0;2.0;6.0;10.0;8.0;6.0;0.0;2.0;23.0;18.0;7.0;0.0;6.0;0.0;7.0;49.0;28.0;3.0;7.0;1.0;10.0;2.0;17.0;11.0;1.0;2.0;1.0;1.0;1.0;7.0;7.0;3.0;2.0;8.0;7.0;1.0;9.0;0.0;35.0;2.0;8.0;2.0;10.0;7.0;17.0;6.0;0.0;0.0;16.0;8.0;5.0;19.0;0.0;9.0;6.0;5.0;4.0;6.0;2011-03-05
